cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	cluster_size	NSF_marker_count	NSForest_markers	binary_genes	donor_composition	donor_composition_alert_0.90	library_composition_alert_0.95	library_composition_over0.01	dominant_library_percentage	dominant_library_info	roi_composition	roi_composition_alert_0.95	cluster_median_level1.class_scANVI_AIT11.6_round1_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round1_entropy	cluster_median_level1.class_scANVI_AIT11.6_round2_entropy	cluster_median_level2.neighborhood_scANVI_AIT11.6_round2_entropy	cluster_median_level3.subclass_scANVI_AIT11.6_round2_entropy	cluster_median_doublet_score	cluster_median_pct_counts_mt	gene_counts	umi_counts	umi_gene_ratio
AIT117_32	IN_32		AIT117_314	SN STH VTA Glut	cluster							154	4	['LINC01876', 'AC007091.1', 'LMX1A', 'TTC6']	['EBF2', 'EBF3', 'LINC01876', 'AC007091.1', 'LMX1A', 'TTC6', 'AC007614.1', 'AC132153.1', 'NOS1', 'RMST']	H23.30.001(0.3571)| H19.30.004(0.3506)| H20.30.002(0.2597)| H20.30.001(0.0325)| H18.30.001(0.0)	Balanced	Balanced	1468_A09 (0.3506)|1169_A01 (0.2597)|2058_C03 (0.1688)|2058_B03 (0.1429)|2013_B01 (0.0260)|1233_A02 (0.0260)|2016_A03 (0.0130)	0.3506	1468_A09 (0.3506)|a total of 3319 cells in this dominant library	STH(0.7532)| SN(0.1948)| GPi(0.039)| SN-VTA(0.0065)| Pu(0.0065)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| GPe(0.0)| CaT(0.0)| PuPV(0.0)| PuC(0.0)| NAC(0.0)| PuR(0.0)	Balanced	0	0.32	0	0.39	0.39	0.1154	0.1773	6927.5	31228.5	4.51
AIT117_34	IN_34		AIT117_313	SN STH GABA	cluster							289	4	['LHX1', 'PRSS3', 'AL110292.1', 'ANGPT1']	['LHX1', 'LHX1-DT', 'CORIN', 'PRSS3', 'AL110292.1', 'ANGPT1', 'SCIN', 'AC007368.1', 'AGBL1', 'GREM2']	H20.30.002(0.8997)| H23.30.001(0.083)| H19.30.004(0.0173)| H18.30.001(0.0)| H20.30.001(0.0)	Balanced	Balanced	1169_A01 (0.7855)|1458_A09 (0.1142)|2013_B01 (0.0311)|2012_B05 (0.0242)|2058_B03 (0.0208)|1468_A09 (0.0138)	0.7855	1169_A01 (0.7855)|a total of 7392 cells in this dominant library	STH(0.9377)| GPi(0.0588)| GPe(0.0035)| CaT(0.0)| CaH(0.0)| GPeC(0.0)| CaB(0.0)| GPeR(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.1	0.2177	6454	24316	3.77
AIT117_35	IN_35		AIT117_313	SN STH GABA	cluster							112	4	['AC020584.1', 'LINC02315', 'ONECUT1', 'LINC00922']	['AC020584.1', 'PMFBP1', 'LINC02315', 'ONECUT1', 'LINC00922', 'PTH2R', 'MLIP', 'POU6F2', 'KCNH5', 'CNTN6']	H20.30.002(0.9732)| H23.30.001(0.0179)| H19.30.004(0.0089)| H18.30.001(0.0)| H20.30.001(0.0)	Cautious	Balanced	1169_A01 (0.8929)|1458_A09 (0.0804)|2013_B01 (0.0179)	0.8929	1169_A01 (0.8929)|a total of 7392 cells in this dominant library	STH(0.9821)| GPi(0.0179)| CaH(0.0)| CaT(0.0)| GPe(0.0)| GPeC(0.0)| CaB(0.0)| GPeR(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.13	0.2015	6760.5	26278.5	3.89
AIT117_36	IN_36		AIT117_313	SN STH GABA	cluster							89	3	['LINC02408', 'AL136962.1', 'AC020584.1']	['LINC02408', 'AL136962.1', 'AC020584.1', 'LINC00922', 'PTGER3', 'DIRAS3', 'PIEZO2', 'SYTL4', 'PDGFD', 'MCTP2']	H20.30.002(0.9888)| H23.30.001(0.0112)| H18.30.001(0.0)| H20.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	1169_A01 (0.8202)|1458_A09 (0.1685)|2013_B01 (0.0112)	0.8202	1169_A01 (0.8202)|a total of 7392 cells in this dominant library	STH(0.9888)| GPi(0.0112)| CaH(0.0)| CaT(0.0)| GPe(0.0)| GPeC(0.0)| CaB(0.0)| GPeR(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.09	0.2791	5839	20755	3.55
AIT117_37	IN_37		AIT117_313	SN STH GABA	cluster							242	2	['AC114316.1', 'LINC02055']	['ONECUT3', 'PMFBP1', 'AC114316.1', 'ONECUT1', 'LHX1', 'LINC02055', 'PAX6', 'CDH23', 'CRHR2', 'POU6F2']	H20.30.002(0.7397)| H23.30.001(0.186)| H19.30.004(0.0496)| H20.30.001(0.0248)| H18.30.001(0.0)	Balanced	Balanced	1169_A01 (0.6860)|2013_B01 (0.1281)|1458_A09 (0.0537)|1468_A09 (0.0455)|2058_C03 (0.0289)|1233_A02 (0.0165)|2058_B03 (0.0165)	0.686	1169_A01 (0.686)|a total of 7392 cells in this dominant library	STH(0.8058)| GPi(0.1364)| SN(0.0455)| GPe(0.0041)| SN-VTA(0.0041)| GPeR(0.0041)| CaT(0.0)| GPeC(0.0)| CaB(0.0)| CaH(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.1	0.1241	6477.5	24273	3.75
AIT117_38	IN_38		AIT117_313	SN STH GABA	cluster							257	4	['LINC00922', 'AC079148.3', 'CDH23', 'KCNS3']	['LINC00922', 'AC079148.3', 'LHX1', 'CDH23', 'KCNS3', 'PDE11A', 'GPR139', 'POU6F2', 'C5orf64', 'AGBL1']	H20.30.002(0.9611)| H23.30.001(0.035)| H20.30.001(0.0039)| H18.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	1169_A01 (0.9494)|2013_B01 (0.0233)|1458_A09 (0.0117)	0.9494	1169_A01 (0.9494)|a total of 7392 cells in this dominant library	STH(0.9689)| GPi(0.0233)| GPe(0.0039)| SN(0.0039)| CaH(0.0)| CaT(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Cautious	0	0	0	0	0	0.1	0.1673	6327	23916	3.78
AIT117_40	IN_40		AIT117_313	SN STH GABA	cluster							95	2	['AL110292.1', 'AC092114.1']	['TMEM255A', 'ESR1', 'AL110292.1', 'PRSS3', 'AC092114.1', 'LYPD6B', 'NRP1', 'EPHA5-AS1', 'PLCH1', 'OCA2']	H23.30.001(0.9579)| H20.30.002(0.0316)| H20.30.001(0.0105)| H18.30.001(0.0)| H19.30.004(0.0)	Cautious	Balanced	2013_B01 (0.9263)|2012_B05 (0.0316)|988_C05 (0.0211)|1042_C06 (0.0105)|1169_A01 (0.0105)	0.9263	2013_B01 (0.9263)|a total of 4881 cells in this dominant library	GPi(0.9579)| CaT(0.0211)| NAC(0.0105)| STH(0.0105)| GPe(0.0)| CaH(0.0)| CaB(0.0)| GPeR(0.0)| GPeC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Cautious	0	0.88	0	0.93	0.93	0.0735	0.0421	8876	63597	7.17
AIT117_41	IN_41		AIT117_321	STR FS PTHLH ST18 GABA	cluster							74	3	['ETNPPL', 'IL1RAPL2', 'RANBP3L']	['OPN3', 'MYRFL', 'PDGFD', 'ETNPPL', 'IL1RAPL2', 'RANBP3L', 'AQP4', 'MRVI1', 'OBI1-AS1', 'BMPR1B']	H20.30.001(0.2973)| H20.30.002(0.2973)| H23.30.001(0.2568)| H18.30.001(0.1486)| H19.30.004(0.0)	Balanced	Balanced	1036_A03 (0.1486)|930_C05 (0.0811)|2018_E01 (0.0811)|1036_B03 (0.0811)|891_A06 (0.0541)|1036_C03 (0.0541)|988_E05 (0.0541)|1042_A06 (0.0541)|1955_B06 (0.0405)|847_A04 (0.0405)|1042_B06 (0.0405)|980_C02 (0.0405)|2018_B01 (0.0270)|1955_C06 (0.0270)|2018_A01 (0.0270)|988_D05 (0.0270)|897_E03 (0.0135)|1959_C02 (0.0135)|1959_A02 (0.0135)|2006_B05 (0.0135)|1458_A09 (0.0135)|1110_B07 (0.0135)|1110_A07 (0.0135)|2016_B03 (0.0135)|822_B01 (0.0135)	0.1486	1036_A03 (0.1486)|a total of 10559 cells in this dominant library	NAC(0.4189)| CaH(0.1622)| CaT(0.1486)| PuPV(0.0946)| CaB(0.0676)| PuC(0.0405)| Pu(0.0405)| STH(0.0135)| GPe(0.0135)| GPeC(0.0)| GPeR(0.0)| GPi(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0.24	0	0.12	0.12	0.1	0.1537	7005.5	27109.5	3.87
AIT117_44	IN_44		AIT117_322	STR TAC3 PLPP4 GABA	cluster							76	3	['CHRNA3', 'GLP1R', 'TBXAS1']	['CHRNA3', 'LINC01837', 'GLP1R', 'TAC3', 'CRABP1', 'TBXAS1', 'ADAM28', 'AC007614.1', 'FYB1', 'IKZF1']	H23.30.001(0.3026)| H20.30.001(0.2763)| H18.30.001(0.2237)| H20.30.002(0.1974)| H19.30.004(0.0)	Balanced	Balanced	980_C02 (0.1053)|1955_C06 (0.0658)|988_D05 (0.0658)|2012_A05 (0.0526)|847_A04 (0.0526)|1036_C03 (0.0526)|891_A06 (0.0526)|897_E03 (0.0395)|988_E05 (0.0395)|822_A01 (0.0395)|930_D05 (0.0395)|930_C05 (0.0263)|1110_A07 (0.0263)|930_E05 (0.0263)|1955_B06 (0.0263)|1959_A02 (0.0263)|1036_B03 (0.0263)|1036_A03 (0.0263)|2018_B01 (0.0263)|2018_A01 (0.0263)|822_B01 (0.0132)|847_C04 (0.0132)|2016_B03 (0.0132)|1042_A06 (0.0132)|2018_E01 (0.0132)|988_C05 (0.0132)|930_F05 (0.0132)|1959_B02 (0.0132)|858_D03 (0.0132)|1959_C02 (0.0132)|2006_A05 (0.0132)|2013_B01 (0.0132)	0.1053	980_C02 (0.1053)|a total of 6906 cells in this dominant library	CaT(0.1974)| NAC(0.1711)| CaB(0.1316)| CaH(0.1184)| PuPV(0.0921)| PuC(0.0789)| Pu(0.0789)| PuR(0.0526)| GPe(0.0526)| GPi(0.0263)| GPeC(0.0)| GPeR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0656	0.148	6105	18557	3.04
AIT117_45	IN_45		AIT117_313	SN STH GABA	cluster							288	3	['ECEL1', 'SST', 'LINC02691']	['AC010478.1', 'ECEL1', 'ISL1', 'SST', 'LINC02691', 'MCHR2', 'ZBTB7C', 'NR2F2-AS1', 'KCNMB2', 'OPRM1']	H23.30.001(0.6111)| H20.30.002(0.2812)| H19.30.004(0.0694)| H20.30.001(0.0347)| H18.30.001(0.0035)	Balanced	Balanced	2013_B01 (0.2812)|1169_A01 (0.2014)|2012_B05 (0.1146)|2018_D01 (0.0903)|1458_A09 (0.0729)|1468_A09 (0.0694)|2016_A03 (0.0486)|1482_A03 (0.0312)|2058_B03 (0.0278)|2058_C03 (0.0243)|2013_C01 (0.0139)	0.2812	2013_B01 (0.2812)|a total of 4881 cells in this dominant library	GPi(0.5729)| STH(0.375)| SN(0.0243)| CaB(0.0139)| GPe(0.0104)| GPeR(0.0035)| CaH(0.0)| GPeC(0.0)| CaT(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| PuR(0.0)| SN-VTA(0.0)	Balanced	0	0.67	0	0.5	0.5	0.1176	0.0934	7603.5	36230.5	4.77
AIT117_47	IN_47		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							87	3	['AC092110.1', 'LHX8', 'GALR1']	['GBX1', 'AC092110.1', 'LHX8', 'GALR1', 'AC124254.2', 'ELFN1', 'SEMA3E', 'GABRG1', 'TAFA1', 'AC023095.1']	H23.30.001(0.7816)| H20.30.001(0.1954)| H20.30.002(0.023)| H18.30.001(0.0)| H19.30.004(0.0)	Balanced	Balanced	2012_B05 (0.2644)|2016_A03 (0.2184)|1482_A03 (0.1724)|2013_B01 (0.1494)|2012_A05 (0.1379)|960_B03 (0.0230)|2013_A01 (0.0115)|1169_A01 (0.0115)|988_C05 (0.0115)	0.2644	2012_B05 (0.2644)|a total of 6229 cells in this dominant library	GPi(0.8046)| GPe(0.1494)| GPeR(0.023)| CaT(0.0115)| STH(0.0115)| CaH(0.0)| CaB(0.0)| GPeC(0.0)| NAC(0.0)| PuC(0.0)| Pu(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0.5	0	0.5	0.5	0.16	0.0679	8963	66162	7.38
AIT117_48	IN_48		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							70	2	['AL591463.1', 'ELFN1']	['LHX8', 'AL591463.1', 'CCDC178', 'ELFN1', 'GABRA6', 'AL356124.1', 'SOX6', 'AC008415.1', 'CPNE4', 'INSYN2A']	H20.30.001(0.5286)| H23.30.001(0.4714)| H18.30.001(0.0)| H19.30.004(0.0)| H20.30.002(0.0)	Balanced	Balanced	994_C03 (0.4143)|2012_B05 (0.2143)|2012_A05 (0.1000)|960_B03 (0.0714)|2006_B05 (0.0571)|2016_A03 (0.0571)|1482_A03 (0.0429)|2013_B01 (0.0286)|2013_A01 (0.0143)	0.4143	994_C03 (0.4143)|a total of 4714 cells in this dominant library	GPi(0.7571)| GPe(0.1714)| GPeR(0.0714)| CaT(0.0)| CaH(0.0)| CaB(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.1	0.0466	4075.5	10266	2.52
AIT117_49	IN_49		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							305	3	['AC068787.2', 'GBX1', 'FGF10-AS1']	['AC068787.2', 'AC060765.1', 'FGF10', 'GBX1', 'FGF10-AS1', 'CCDC178', 'EBF4', 'RCBTB1', 'DIPK2A', 'TMEM132C']	H23.30.001(0.8459)| H20.30.001(0.1475)| H20.30.002(0.0066)| H18.30.001(0.0)| H19.30.004(0.0)	Balanced	Balanced	2006_B05 (0.4426)|2012_A05 (0.2656)|960_B03 (0.1311)|2013_A01 (0.0787)|2018_C01 (0.0328)	0.4426	2006_B05 (0.4426)|a total of 6534 cells in this dominant library	GPe(0.8197)| GPeR(0.1311)| GPi(0.0295)| NAC(0.0098)| PuPV(0.0066)| CaB(0.0033)| CaH(0.0)| GPeC(0.0)| CaT(0.0)| Pu(0.0)| PuC(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.1053	0.0644	9039	56359	6.24
AIT117_50	IN_50		AIT117_323	NDB SI LHX6 LHX8 GBX1	cluster							549	3	['ST18', 'MEGF10', 'RMST']	['RNF220', 'ST18', 'PLP1', 'SLC1A3', 'MEGF10', 'RMST', 'AL356124.1', 'ARHGAP18', 'SOX6', 'ADARB2']	H20.30.001(0.5738)| H23.30.001(0.4226)| H20.30.002(0.0036)| H18.30.001(0.0)| H19.30.004(0.0)	Balanced	Balanced	994_C03 (0.5228)|2016_A03 (0.2914)|2018_D01 (0.0692)|960_B03 (0.0401)|2012_A05 (0.0219)|2018_C01 (0.0146)|2006_B05 (0.0128)	0.5228	994_C03 (0.5228)|a total of 4714 cells in this dominant library	GPi(0.8944)| GPe(0.051)| GPeR(0.0401)| PuPV(0.0109)| NAC(0.0036)| CaT(0.0)| CaH(0.0)| GPeC(0.0)| CaB(0.0)| Pu(0.0)| PuC(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.18	0.106	2417	4355	1.8
AIT117_51	IN_51		AIT117_324	SN TH Dopa	cluster							172	2	['LINC01956', 'NPSR1']	['AC078923.1', 'AC074099.1', 'LINC01956', 'NPSR1', 'LINC00261', 'EBF2', 'TH', 'LINC01876', 'EBF3', 'LMX1A']	H20.30.002(0.7442)| H19.30.004(0.2151)| H20.30.001(0.0233)| H23.30.001(0.0174)| H18.30.001(0.0)	Balanced	Balanced	1169_A01 (0.6395)|1468_A09 (0.2151)|1458_A09 (0.1047)|1001_A06 (0.0233)|2058_B03 (0.0174)	0.6395	1169_A01 (0.6395)|a total of 7392 cells in this dominant library	STH(0.9767)| SN-VTA(0.0233)| CaB(0.0)| GPe(0.0)| GPeC(0.0)| CaH(0.0)| CaT(0.0)| GPi(0.0)| GPeR(0.0)| NAC(0.0)| Pu(0.0)| PuPV(0.0)| PuC(0.0)| SN(0.0)| PuR(0.0)	Cautious	0	0	0	0	0	0.11	0.2113	5635	18571	3.3
AIT117_52	IN_52		AIT117_324	SN TH Dopa	cluster							116	2	['SLC6A3', 'SLC18A2']	['SLC6A3', 'SLC18A1', 'CHRNB3', 'LINC01956', 'SLC18A2', 'LINC00261', 'SCUBE1', 'TH', 'EBF3', 'VWA5B1']	H20.30.002(0.6983)| H20.30.001(0.1638)| H19.30.004(0.1034)| H18.30.001(0.0259)| H23.30.001(0.0086)	Balanced	Balanced	1169_A01 (0.6810)|1001_A06 (0.1466)|1468_A09 (0.1034)|925_F03 (0.0259)|1233_A02 (0.0172)|1458_A09 (0.0172)	0.681	1169_A01 (0.681)|a total of 7392 cells in this dominant library	STH(0.8017)| SN-VTA(0.1466)| SN(0.0517)| GPe(0.0)| CaB(0.0)| CaH(0.0)| CaT(0.0)| GPi(0.0)| GPeR(0.0)| GPeC(0.0)| NAC(0.0)| PuPV(0.0)| PuC(0.0)| Pu(0.0)| PuR(0.0)	Balanced	0	0	0	0	0	0.14	0.2205	6379	27032.5	4.24
AIT117_54	IN_54		AIT117_325	GPi Shell	cluster							119	2	['LINC02359', 'LINC01798']	['LINC02359', 'LINC01799', 'LINC01828', 'HPGD', 'LINC01798', 'PAX6', 'FAM163A', 'TBR1', 'PTPN14', 'COL24A1']	H23.30.001(0.6807)| H20.30.001(0.3193)| H18.30.001(0.0)| H19.30.004(0.0)| H20.30.002(0.0)	Balanced	Balanced	2012_A05 (0.2689)|2013_B01 (0.2269)|960_B03 (0.1933)|2016_A03 (0.1513)|994_C03 (0.1176)|2012_B05 (0.0252)	0.2689	2012_A05 (0.2689)|a total of 7367 cells in this dominant library	GPi(0.5294)| GPe(0.2773)| GPeR(0.1933)| CaT(0.0)| CaH(0.0)| CaB(0.0)| GPeC(0.0)| NAC(0.0)| Pu(0.0)| PuC(0.0)| PuPV(0.0)| PuR(0.0)| SN(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.1471	0.0752	6739	25602	3.8
AIT117_55	IN_55		AIT117_326	BN LAMP5 CXCL14 GABA	cluster							496	3	['ROR2', 'CRH', 'EYA4']	['ROR2', 'CRH', 'AC132803.1', 'EYA4', 'KIT', 'NRIP3', 'EPHA3', 'NTNG1', 'UNC13C', 'FBXL7']	H23.30.001(0.3629)| H18.30.001(0.3185)| H20.30.002(0.1613)| H20.30.001(0.1573)| H19.30.004(0.0)	Balanced	Balanced	988_D05 (0.1270)|988_C05 (0.0585)|1955_C06 (0.0544)|988_E05 (0.0524)|847_D04 (0.0484)|2016_C03 (0.0363)|2018_E01 (0.0343)|847_C04 (0.0343)|2018_C01 (0.0343)|1110_A07 (0.0242)|2018_A01 (0.0222)|2016_B03 (0.0222)|980_C02 (0.0222)|960_B03 (0.0222)|822_B01 (0.0202)|930_B05 (0.0202)|1959_A02 (0.0202)|2013_C01 (0.0181)|1110_B07 (0.0181)|847_A04 (0.0181)|2018_B01 (0.0141)|822_A01 (0.0141)|1482_A03 (0.0141)|897_E03 (0.0141)|930_D05 (0.0141)|1959_C02 (0.0141)|925_F03 (0.0121)|2006_A05 (0.0121)|1091_A05 (0.0121)|930_C05 (0.0121)|2012_A05 (0.0121)|1169_A01 (0.0101)|2013_B01 (0.0101)|2012_B05 (0.0101)|1036_C03 (0.0101)|1959_B02 (0.0101)|2013_A01 (0.0101)	0.127	988_D05 (0.127)|a total of 8686 cells in this dominant library	CaT(0.25)| PuPV(0.1573)| PuC(0.127)| NAC(0.1008)| Pu(0.0685)| GPe(0.0625)| CaB(0.0585)| GPi(0.0484)| CaH(0.0444)| PuR(0.0242)| GPeR(0.0222)| STH(0.0161)| SN(0.0141)| GPeC(0.006)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.03	0.2501	5807	22217.5	3.83
AIT117_56	IN_56		AIT117_326	BN LAMP5 CXCL14 GABA	cluster							543	2	['AC132803.1', 'POU6F2']	['AC092819.3', 'LINC00298', 'AC132803.1', 'ADAMTS20', 'MPPED1', 'POU6F2', 'PRELID2', 'KIT', 'FREM1', 'KCNH5']	H23.30.001(0.4751)| H20.30.001(0.2007)| H18.30.001(0.186)| H20.30.002(0.1363)| H19.30.004(0.0018)	Balanced	Balanced	1482_A03 (0.1308)|2012_B05 (0.0976)|988_C05 (0.0810)|2018_C01 (0.0810)|988_D05 (0.0718)|2016_C03 (0.0479)|2018_E01 (0.0460)|925_F03 (0.0424)|2016_A03 (0.0387)|1955_C06 (0.0276)|988_E05 (0.0276)|847_C04 (0.0258)|2013_B01 (0.0239)|930_B05 (0.0239)|980_C02 (0.0221)|2018_B01 (0.0203)|847_A04 (0.0184)|822_B01 (0.0184)|2012_A05 (0.0147)|2058_C03 (0.0129)|2012_C05 (0.0129)|2018_A01 (0.0110)	0.1308	1482_A03 (0.1308)|a total of 4968 cells in this dominant library	GPi(0.3039)| CaT(0.2339)| PuPV(0.14)| GPe(0.1013)| SN(0.0552)| PuC(0.0405)| CaH(0.0295)| Pu(0.0295)| NAC(0.0239)| STH(0.0147)| CaB(0.0129)| GPeR(0.0055)| GPeC(0.0037)| PuR(0.0037)| SN-VTA(0.0018)	Balanced	0	0	0	0	0	0.0476	0.1325	5352	19827	3.7
AIT117_57	IN_57		AIT117_326	BN LAMP5 CXCL14 GABA	cluster							198	3	['AC132803.1', 'LAMA3', 'HPSE2']	['LINC00298', 'AC132803.1', 'LYPD6', 'MPPED1', 'LAMA3', 'HPSE2', 'TCERG1L', 'ADAMTS9-AS2', 'TACR1', 'SDK2']	H20.30.001(0.5354)| H20.30.002(0.3333)| H23.30.001(0.0859)| H18.30.001(0.0455)| H19.30.004(0.0)	Balanced	Balanced	1482_A03 (0.5101)|988_C05 (0.3182)|2012_B05 (0.0404)|925_F03 (0.0404)|2016_A03 (0.0202)|930_B05 (0.0152)|2016_C03 (0.0152)|960_B03 (0.0101)|988_E05 (0.0101)	0.5101	1482_A03 (0.5101)|a total of 4968 cells in this dominant library	GPi(0.5707)| CaT(0.3182)| SN(0.0404)| PuPV(0.0303)| PuC(0.0152)| GPeR(0.0101)| GPe(0.0101)| NAC(0.0051)| GPeC(0.0)| CaB(0.0)| CaH(0.0)| Pu(0.0)| PuR(0.0)| SN-VTA(0.0)| STH(0.0)	Balanced	0	0	0	0	0	0.0429	0.6281	4050	12656	3.12
AIT117_58	IN_58		AIT117_326	BN LAMP5 CXCL14 GABA	cluster							573	2	['NDNF', 'AC092819.3']	['NDNF', 'AC005064.1', 'AC092819.3', 'PAPSS2', 'LINC00298', 'SGO1-AS1', 'MPPED1', 'AC007368.1', 'FREM1', 'TOX3']	H23.30.001(0.3246)| H18.30.001(0.3194)| H20.30.002(0.1798)| H20.30.001(0.1693)| H19.30.004(0.007)	Balanced	Balanced	925_F03 (0.2478)|988_C05 (0.1291)|1482_A03 (0.1030)|2012_B05 (0.0628)|2016_C03 (0.0384)|2018_C01 (0.0366)|1955_C06 (0.0314)|822_B01 (0.0209)|988_D05 (0.0192)|2018_B01 (0.0192)|2018_E01 (0.0175)|980_C02 (0.0175)|988_E05 (0.0157)|847_C04 (0.0157)|2013_C01 (0.0157)|2012_A05 (0.0140)|847_A04 (0.0140)|2018_A01 (0.0140)|2016_A03 (0.0122)|1955_B06 (0.0122)|2012_C05 (0.0105)|930_B05 (0.0105)|1169_A01 (0.0105)	0.2478	925_F03 (0.2478)|a total of 3479 cells in this dominant library	SN(0.2548)| CaT(0.1937)| GPi(0.1902)| PuPV(0.1099)| GPe(0.0541)| NAC(0.0384)| CaH(0.0349)| Pu(0.0332)| PuC(0.0314)| CaB(0.0262)| STH(0.0192)| GPeR(0.0087)| PuR(0.0035)| GPeC(0.0017)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.0455	0.2323	5599	21020	3.75
AIT117_59	IN_59		AIT117_327	STR VIP GABA	cluster							117	2	['AC011990.1', 'AC079148.3']	['LINC01931', 'AC011990.1', 'EGF', 'PNOC', 'AC079148.3', 'CHRNA2', 'ABCA9-AS1', 'ADAMTSL1', 'SEMA3C', 'TOX3']	H23.30.001(0.359)| H20.30.002(0.265)| H20.30.001(0.2051)| H18.30.001(0.1709)| H19.30.004(0.0)	Balanced	Balanced	980_C02 (0.0769)|2018_E01 (0.0684)|2018_B01 (0.0598)|988_E05 (0.0598)|988_D05 (0.0513)|930_D05 (0.0513)|822_A01 (0.0513)|822_B01 (0.0513)|988_C05 (0.0513)|2018_C01 (0.0427)|847_A04 (0.0427)|2006_A05 (0.0342)|847_D04 (0.0342)|2013_C01 (0.0342)|897_E03 (0.0342)|930_B05 (0.0342)|2012_C05 (0.0256)|1959_B02 (0.0171)|2018_A01 (0.0171)|1110_A07 (0.0171)|847_C04 (0.0171)|1042_A06 (0.0171)|1959_C02 (0.0171)	0.0769	980_C02 (0.0769)|a total of 6906 cells in this dominant library	CaT(0.2735)| PuPV(0.1966)| PuC(0.1453)| CaB(0.1197)| CaH(0.0684)| GPe(0.0513)| PuR(0.0513)| NAC(0.0427)| Pu(0.0256)| STH(0.0171)| GPi(0.0085)| GPeR(0.0)| GPeC(0.0)| SN(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.04	0.138	5843	21440	3.67
AIT117_60	IN_60		AIT117_327	STR VIP GABA	cluster							159	2	['IL17RD', 'THSD7B']	['IL17RD', 'PCDH18', 'CASC6', 'PTGFR', 'ADAMTSL1', 'THSD7B', 'NAP1L3', 'ARHGAP18', 'AL356124.1', 'SDK1']	H20.30.002(0.2704)| H18.30.001(0.2579)| H20.30.001(0.2516)| H23.30.001(0.2138)| H19.30.004(0.0063)	Balanced	Balanced	925_F03 (0.2201)|988_C05 (0.2013)|1482_A03 (0.1824)|2018_C01 (0.0314)|2012_B05 (0.0314)|1955_C06 (0.0314)|980_C02 (0.0252)|2012_C05 (0.0252)|1955_B06 (0.0252)|1042_A06 (0.0189)|1091_A05 (0.0189)|930_E05 (0.0189)|930_B05 (0.0189)|2018_E01 (0.0189)|930_C05 (0.0126)|2013_B01 (0.0126)|2016_C03 (0.0126)|988_D05 (0.0126)|822_B01 (0.0126)	0.2201	925_F03 (0.2201)|a total of 3479 cells in this dominant library	CaT(0.283)| GPi(0.2327)| SN(0.2201)| NAC(0.0566)| CaH(0.044)| GPe(0.0377)| CaB(0.0314)| Pu(0.0314)| PuC(0.0252)| PuPV(0.0252)| PuR(0.0063)| STH(0.0063)| GPeC(0.0)| GPeR(0.0)| SN-VTA(0.0)	Balanced	0	0	0	0	0	0.0571	0.1925	5878	24388	4.15
